"ClassName","Class","PLAYER_NAME","POSITION","SEASON","CPROB1","CPROB2","CPROB3","CPROB4","CPROB5","CPROB6","CPROB7","CPROB8","CPROB9","CPROB10","PLAYER_HEIGHT_INCHES","AST","AVG_SEC_PER_TOUCH","AVG_SPEED_OFF","CATCH_SHOOT_PTS","DIST_MILES_OFF","DRIVE_PTS","DRIVES","ELBOW_TOUCH_PTS","ELBOW_TOUCHES","FG3A","FRONT_CT_TOUCHES","FT_AST","FTA","FTR","ISO_PTS","OFF_BOXOUTS","OFF_LOOSE_BALLS_RECOVERED","OREB","PACE","PAINT_TOUCH_PTS","PASSES_MADE","PASSES_RECEIVED","PFD","POST_TOUCHES","POTENTIAL_AST","PRBH_PTS","PRRM_PTS","PTS","PTS_2ND_CHANCE","PTS_FB","PTS_OFF_TOV","PTS_PAINT","PULL_UP_PTS","SCREEN_ASSISTS","SECONDARY_AST","SU_PTS","TIME_OF_POSS_36","TOUCHES","TOV","CATCH_SHOOT_FG_PCT","DRIVE_FG_PCT","EFG","ELBOW_TOUCH_FG_PCT","PAINT_TOUCH_FG_PCT","PCT_AST_2PM","PCT_AST_3PM","PCT_FGA_2PT","PCT_FGA_3PT","PCT_FGM","PCT_PTS_FT","PCT_PTS_OFF_TOV","PCT_PTS_PAINT","PCT_UAST_2PM","PCT_UAST_3PM","POST_TOUCH_FG_PCT","PTS_PER_TOUCH","PULL_UP_FG_PCT","AVG_SPEED_DEF","BLK","BLKA","CHARGES_DRAWN","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","D_FGA","D_FGM","DEF_BOXOUTS","DEF_LOOSE_BALLS_RECOVERED","DEFLECTIONS","DIST_MILES_DEF","DREB","PF","STL","D_FG_PCT","AVG_REB_DIST","DD2","LOOSE_BALLS_RECOVERED","MPG","REB_CHANCES","TD3"
"Pass First",6,"Aaron Brooks","G","2015-16",7.55160974578287e-71,2.94843792654343e-129,1.09687687805461e-142,6.64288254323338e-114,1.3641396855324e-85,0.999835411532899,0.00016458846710156,4.95058621937958e-67,9.0204255142105e-29,3.36570394489886e-110,-2.0235411569959,1.31919346332393,2.06345824549117,-0.680588545701364,-0.176522639309937,-1.03566291667192,0.337679200892067,1.80342188847498,-0.904935646929607,-0.815321556887048,0.718933215810019,-0.879535835138085,1.55840011102323,-0.588441523211791,-0.921264149851833,0.31333326605556,-0.459101014388218,-1.04407144604623,-0.728496576514169,-0.741233426111376,-0.924142026230857,1.04558192566882,1.64098944585148,-0.23309886509496,-0.599592802373298,1.50807610450832,2.57722138514815,-0.629591989779778,0.266896660131142,-1.21008776845519,-0.399763603832063,-1.19819316351665,-0.125112011171541,1.23521755268496,-0.692285732029442,0.627591965389539,-0.169559276415879,1.96257844843945,1.14763832548212,0.907558235031636,0.537734974621598,-0.0100500403802919,-0.603537415186395,-0.857466290646829,-1.59973851529231,-2.20016180189673,-0.584709819670909,-0.267195575262006,0.267181094467692,0.561565477390462,-0.83575470081875,-1.65299313818077,-0.326527870932496,2.20320186027865,1.79328492081541,-1.07428896459026,-0.614158630461348,-0.0118438611502136,-0.59106981602711,-0.630690691449221,1.00937045311346,-0.549573866752077,-1.22974548270199,-1.75394634192142,-0.285939259062424,-0.83841814078063,-0.747024447780025,-1.04569283127485,-1.49583228889457,-0.74381080166664,-1.19036432608991,0.883180236850419,-0.329308150306537,-1.77696167921505,1.95536087407389,-0.471969928840419,-1.6666127265546,-0.624650863029601,-0.743793989261869,-0.134641266661572
"Defender",1,"Aaron Gordon","F","2015-16",0.999998073696497,1.08245931910577e-33,2.11147237248579e-26,1.78645671281604e-06,1.3984453861427e-07,3.11428676809925e-47,5.06264684028617e-72,5.38450937391001e-15,2.2462728636881e-12,2.59339813538104e-190,0.605728489027077,-0.370089727034096,-0.591301462396411,1.81459523276652,-0.490412135638784,0.913531503365592,-0.408527817511489,-0.506044892246158,0.0201441033069429,-0.213061802558187,-0.523605472671773,-0.64354837373232,-0.172280586397979,0.359148658955736,0.576720926695038,-0.308032176285088,-0.459101014388218,-1.04407144604623,1.11436308756445,-0.495803995663596,0.715510017274652,-0.117017131259663,-0.893355911021142,0.00645348447780338,-0.24540669680772,-0.519951297761776,-0.441607008367709,-0.0100637032594506,-0.174150432675846,1.35646573464616,0.655675310328556,0.692850975116459,0.398035986951067,-0.456097733995257,-0.692285732029442,-0.739996002644636,0.0383089674989442,-0.51690253856876,-0.192014996291401,-0.872567769264885,-0.473162432122754,-0.138076455140756,-0.0132897944756699,0.24019760847953,0.355760476609928,-0.093075400300709,0.671599888137073,0.449995683286866,-0.450011778328428,-0.0989007625541206,0.414067392191502,1.03483682773827,0.624580403977736,0.0952864104785027,-0.591800705589279,0.119361687368012,-0.11600488249714,0.134501193106297,0.541011642470112,0.4535091496035,-0.146589047103053,-0.549573866752077,-1.22820768229977,-1.75394634192142,-0.438108372646096,-0.532131682046238,-0.747024447780025,-1.04569283127485,-1.49583228889457,0.285726753650774,0.883876887844456,-0.313791386172076,0.0331844278653444,-0.433549467314248,-0.8990891798433,0.744272487035189,-1.63179598587771,0.317278153378796,0.691482646335872,-0.134641266661572
"Center",4,"Adreian Payne","F","2015-16",0.0325130664205097,3.5239977160983e-37,1.80270840239512e-24,0.764538475781354,0.202948457790635,1.34285096481908e-35,2.87023575654241e-73,7.49104157433664e-12,1.02838273124978e-14,1.45047386143909e-201,0.897869560807407,-0.531836516985836,-0.599179087642368,0.0788152129627741,-0.369218345200539,-0.022572542368746,-0.144886971189178,-0.494250909562814,0.0177364305035998,1.5463418502418,-0.664795010319108,0.099281649523181,0.186724577027378,-0.676012045053084,-0.595224425236552,-0.620253393521545,-0.459101014388218,-1.04407144604623,-0.0853957830227756,-0.744340127762616,0.0745851084171922,0.876481153876686,-0.554765358933222,-0.275166504512082,0.774882056760043,-0.473219082140241,-0.714892069695998,-0.629591989779778,-1.05153403971554,-0.612546954049158,-1.09561536315969,-0.909832922331431,-0.671945137616474,-0.51077950551502,-0.692285732029442,-0.0644800022887311,-1.54197165984327,-0.287085734639457,0.772620074438763,0.912631860962376,-0.23054705450411,-0.555846861201219,-1.75467827063338,-0.67524540620688,-0.867963735303735,0.272087114261599,0.398352526688837,0.5655164229189,-0.56553277797344,-0.741020718055799,-0.376959248954227,-0.0903012975301651,-0.0690455202661899,-0.27001977988499,-0.0730445818462591,-0.216781312321387,-1.48273439614253,-0.641127594453208,0.294906977579412,0.0901725313177899,-0.324271420943556,-0.549573866752077,-1.23787805915783,-1.75394634192142,0.00355574006828759,0.327187812622495,-0.747024447780025,-1.04569283127485,-1.49583228889457,-0.409466640186892,0.847322370380075,2.15643266161569,0.134576564952006,0.960557545035645,-0.947469689231727,-0.471969928840419,-1.6666127265546,-1.43226216787164,0.325776715878066,-0.134641266661572
"Big Jump",5,"Al Horford","C","2015-16",1.65358979916763e-21,1.36785943405573e-15,4.04143561945859e-26,0.000768265855420373,0.999231734144578,1.88305604173865e-58,3.22108483991223e-80,1.62934991166523e-25,1.38614257572401e-23,4.22025970739726e-194,0.897869560807407,0.192788189089894,-0.843385470267041,-0.572102294463629,1.50210285789219,-1.38248751229597,-0.480860751316872,-0.679092058936902,0.755973040252485,1.52857653093295,-0.235144727286642,2.10644868958847,0.322732783418136,-0.769414790559362,-1.02298714918344,-0.264066529582507,-0.459101014388218,-1.04407144604623,0.350344023442503,-0.138533305771263,0.807972201516896,0.771451483911133,0.331290823287567,-0.900729948950557,1.21949198647043,0.374397609194108,-0.714892069695998,2.29496355828323,0.50866576805853,0.188864423840464,-0.185868593327479,0.262690632374986,0.484392408624047,-0.901415835010185,-0.646104714554565,0.0348603159023092,0.366884861827678,-0.482260806080836,0.713887897562544,-0.630848863000096,0.578170870891372,0.690726124624356,0.561120835961688,-0.0548266806137206,0.626332664168728,1.18499340066737,0.746978470605552,0.454809047438201,-0.454825153313637,1.14864657956342,-1.12052429163121,-0.215316644782214,0.167417862998785,-1.18328525579372,-0.73490584317356,0.510385176802618,-0.15432440157131,0.0320596551267392,-1.08327914580851,1.32469815374358,-0.680091180567462,-0.549573866752077,-1.16255532475277,-1.72862047615982,0.835681994976167,0.620924636990096,-0.747024447780025,-1.04569283127485,-1.45987090635777,-0.638652760586151,0.544177724320532,-0.965550820713345,-0.427276702953542,-0.281465065966988,-0.463664595347458,1.25104016031669,-1.6666127265546,1.30358842480908,0.730393800342589,-0.134641266661572
"Center",4,"Al Jefferson","C","2015-16",3.43463814787447e-37,2.58229494826923e-15,1.380759264947e-29,0.999999999999997,1.24664474991511e-25,5.80820018398462e-92,2.60689956235786e-108,5.64894351095329e-55,1.81658461888043e-45,3.77548742849124e-218,0.897869560807407,-0.457599613975918,-0.402238456493437,-1.58464063934915,0.161100250861152,-1.3725170633563,-0.558305160333183,-1.20031267709146,0.949607945085566,1.40009615314381,-1.56663256704308,0.141555816873345,0.743569249672057,0.310483585735462,-0.287127664325321,-0.620253393521545,-0.459101014388218,-1.04407144604623,0.227041681723059,-0.881035000417074,1.04541294092706,-1.46752281022207,-0.569358708498361,-0.11501202495405,6.83981186798679,-0.408348523136491,-0.714892069695998,1.57908068856435,0.799982662334148,-0.616293372909145,-1.19028199044228,0.345192532326844,1.28779583587135,-0.596898670663591,-0.692285732029442,-0.475648446191641,-1.05054644780817,-0.639826925871714,-1.04880240665075,-1.07616197767762,1.1644913668031,-2.91422818573609,-0.388720191331831,-0.328158007273644,-0.0685459084254619,0.0944404855556118,-2.3937957989144,1.62926990036387,-1.6292886497046,1.80911281950801,-0.392779781777142,-0.361167883242936,0.750694208385722,-0.0923032548432905,-0.73490584317356,0.496665054366316,2.14484674287888,0.207673720234552,-0.787953547939671,0.870064993777722,1.31406742396955,-0.549573866752077,-1.23787805915783,-1.75394634192142,0.132307977691009,0.399503770380082,-0.747024447780025,-1.04569283127485,-1.49583228889457,-1.41839896948998,1.46895825276681,0.480717278957634,-0.30729334882495,0.808473143688383,-1.38289427372757,0.237504813753686,-1.6666127265546,0.250211267488005,1.03025732376658,-0.134641266661572
"Moneyball",8,"Al-Farouq Aminu","F","2015-16",0.000563862921310219,7.83834873283944e-62,2.54145805635792e-52,2.15138889284259e-29,3.17738145547672e-09,1.30242180438787e-45,3.71609679706361e-75,0.999436123135039,1.07662696425379e-08,4.62623204280475e-204,0.605728489027077,-0.545689760503722,-0.465259458461095,0.621246469151446,0.779695420659431,0.293726632716772,-0.439707425035079,-0.23165116237425,-0.261218903255466,-0.389762272318146,0.47366167235252,-0.502653276732965,0.0366802815679203,-0.40508837645297,-0.308691048551474,-0.468393628583461,-0.459101014388218,-1.04407144604623,-0.0657969640437403,-0.495803995663596,-0.391960132485017,-0.921837713070304,-0.86641961752906,-0.507383776981857,-0.415962498197813,-0.587287947549634,-0.409204596119598,-0.281532406713478,-0.385662729858672,-0.0626009532553356,-0.264351401070003,-0.57715699566255,-0.644161042651678,-0.452394979745435,-0.692285732029442,-0.597410441606536,1.29413141731174,-0.632229939171991,-0.915689587070212,-0.142196797392685,0.0929401156540832,-0.501941002354708,-0.106136449177853,0.300937903292846,-0.0869940121226535,0.291825628562265,0.523983497469635,-0.705211713033464,0.705198218121698,-0.520865304740938,-0.250394986370911,-0.402839665660287,-0.568245996047803,-0.289766060445178,-0.311553144486728,0.0679112282318791,0.369375692442345,0.339384269065411,0.344127910557551,0.0895441167538265,-0.47682205273073,-0.549573866752077,-1.23787805915783,-1.75394634192142,-0.534842293352754,-0.547462379989972,-0.747024447780025,-1.04569283127485,-1.49583228889457,-0.214247626264967,0.562519858961014,-0.606895399090635,-0.0387506661915376,-0.205422865293356,-0.366903576570604,0.338858348409986,-1.6666127265546,0.877845618959657,0.282630148144246,-0.134641266661572
"Moneyball",8,"Alan Anderson","F","2015-16",9.5534873485262e-11,3.00611931802124e-89,4.55723799557437e-77,3.34957436086264e-52,6.24165309113827e-21,1.18380786567639e-47,3.95929458052479e-81,0.999999999899407,5.05771087689007e-12,1.00271856183206e-212,-0.270694726313915,-0.295434451249184,-0.268318827312165,-0.716750629447275,1.07152097124514,-1.72768513280831,1.20126402124829,-0.186671976250736,-0.971662680350555,-0.702004390835133,1.06808505327523,-1.41157277891652,-0.280091672974162,-0.169103006274044,-0.0251128867178453,0.893159825429771,-0.459101014388218,-1.04407144604623,-1.12642922041144,0.209417279167361,-0.827411343557211,-1.38379381962481,-1.00501361861039,-0.565365133768981,-0.305401457075719,-0.706720486085195,-0.714892069695998,-0.629591989779778,-0.540963517825541,0.00367841617207381,-0.0671604956050856,-1.1094247332946,-1.24137328540121,-0.457243725240183,-0.692285732029442,-1.4755248826429,1.6622154557834,-0.679434549302566,-1.38090120352836,-2.02625215668384,-0.129457313829675,-0.461511608219824,-0.81303661634461,-2.30221758870642,-1.59973851529231,-1.00104705813131,0.746978470605552,-1.38870942252299,1.38869746602136,-0.777713286941608,0.255862063962356,-1.00708051071185,-1.32492882249572,1.00361531624719,-0.73490584317356,0.640726339947487,0.790890402258212,-0.209409684396503,-0.246523285180129,-0.833019486640573,-0.410872430497935,-0.549573866752077,-1.23787805915783,-1.75394634192142,-0.453118066897453,-0.151352440105677,-0.747024447780025,-1.04569283127485,-1.49583228889457,0.358907968412354,-0.0746342120610153,1.23600398454423,-0.825037367046634,0.833820543912928,-0.221762048405323,-0.471969928840419,-1.6666127265546,-0.77743437324128,-0.14252017298793,-0.134641266661572
"Center",4,"Alan Williams","C","2015-16",2.00191937308946e-57,5.01401180157484e-28,2.53720543226764e-16,1,5.6033629532311e-47,4.72828900544402e-125,1.79292731608266e-147,5.12040056939814e-98,3.77533506251218e-88,1.13009551344302e-246,0.313587417246746,-0.286060747996932,-1.00881560043214,-0.174319373258603,-1.61451929036614,-0.30948875211228,-0.558305160333183,-1.08597380772101,-0.971662680350555,0.544896235377716,-1.56663256704308,0.0317713751475188,-1.08068019529471,2.46559236834771,2.47894565837505,-0.620253393521545,-0.459101014388218,-1.04407144604623,4.66625217802087,2.81593996455579,2.19095156405184,-0.154344666093967,-0.947767188953693,2.65139864591607,1.87063163383099,-0.809046269207288,-0.714892069695998,-0.629591989779778,0.130572441055487,3.06159808917434,-1.65378780370045,-2.63559470592354,0.930276736695807,-1.01855448354206,-0.692285732029442,-1.4755248826429,-1.54197165984327,-0.714909590217546,0.102464242849204,1.5538321181197,-3.5968354189628,-2.91422818573609,-1.44455227125438,-2.30221758870642,-1.38451063882508,-0.176964086078537,-2.3937957989144,1.62926990036387,-1.6292886497046,-0.465826451412222,2.48655719199331,-3.25735676124873,0.966138624249366,0.179208102859305,-0.73490584317356,0.0679112282318791,-0.0521390173735238,-2.40458549824416,-0.0988604862457077,2.77331226952708,2.43444617356247,-0.549573866752077,-1.23787805915783,-1.75394634192142,2.22407037633896,1.61380124894249,-0.747024447780025,-1.04569283127485,-1.49583228889457,-0.631509821210159,3.76221036507803,4.14466384668322,2.17020861107354,-0.687023469559682,-1.67317733005813,-0.370616394184118,-1.6666127265546,-1.7357125578983,3.78821220913647,-0.134641266661572
"Jumper",9,"Alec Burks","G","2015-16",2.22146755673784e-29,3.04994964951345e-67,9.43152959830407e-84,1.40050127139938e-53,1.30775826871428e-40,1.7493593220117e-08,8.57494395670188e-08,1.7099032273259e-34,0.999999896756967,3.49824222013693e-109,-0.270694726313915,-0.184271039024877,0.90544733433546,-0.499778126971805,-0.486068065742801,-0.317373901075484,0.856022892650684,1.22352870604424,-0.647182107814769,-0.301369150164783,-0.210606848354049,1.35835181574631,0.656161963770442,1.87451894763229,1.25256125052546,1.00112166607767,-0.459101014388218,-1.04407144604623,-0.69637277306263,-1.39674747452253,-0.84570668398775,0.171095606795537,0.89589376668287,1.55193049600659,-0.627537468614571,0.184796386006322,1.27003976999972,-0.629591989779778,0.832228192877051,-0.218469286361021,0.513472492670861,0.0972609366653839,0.0851181115756728,1.12698636966257,-0.692285732029442,-0.959875414784896,0.968236367902258,0.69883093585778,0.481261201950722,0.443710347852882,0.335555493272728,0.19883516264994,-0.805995145073677,-1.37375879656002,-2.11013605091459,-1.46983677277212,-0.430811880464431,0.488502596497544,-0.488518778210099,0.855106028476943,1.64806895237884,-0.632034468955708,-0.41060374053782,1.47258947955167,1.50111193158084,-1.07428896459026,0.292736654294005,0.214990972947377,0.344127910557551,-0.842874116122517,1.41740671945012,-0.549573866752077,-1.23787805915783,-1.75394634192142,-1.30163512278774,-0.892753160312985,-0.747024447780025,-1.04569283127485,-1.49583228889457,-0.593746523375032,-0.404399436779771,-0.0897671238496538,-0.685596919239727,1.08729454615836,0.552326101809508,-0.471969928840419,-1.6666127265546,0.537636931116221,-0.145612065958193,-0.134641266661572
"Center",4,"Alex Len","C","2015-16",4.39893166159226e-42,3.95851324283616e-21,2.3978739800006e-23,1,6.61421920146399e-29,1.51047005745591e-103,1.79285901253704e-126,6.82593662402221e-67,2.38320433037437e-61,7.44127154514376e-234,1.7742927761484,-0.647962030622114,-0.859140720758956,-0.897561048176831,-0.585785833514488,-0.997679909106499,-0.517466221506273,-1.00345310663491,1.46400532809801,2.0358525604289,-1.51402053675227,-0.0101039471946903,-0.827175922411761,0.93150806829256,0.95472712337504,-0.513760424926767,-0.459101014388218,-1.04407144604623,1.55128803433476,-0.163386918981164,1.4582198180138,-0.216962773814132,-0.680556726945463,0.501719902683968,2.67907696304441,-0.5250373356688,-0.714892069695998,0.439387053382533,-0.172740797354179,0.841743888063352,-1.11417147493585,-0.541477782574157,0.451773291894152,-0.900062755954591,-0.692285732029442,-0.873423683154823,-0.981829282015911,-0.656095384174954,-0.0859449110738682,1.1662131525379,-0.119348339762231,-0.279579334612848,-1.33336698850999,-0.514717484200258,-0.615839651442126,0.656988143124574,0.746978470605552,1.57632289469919,-1.5763415248673,0.0845620818749298,1.50568415697261,-0.569526795329684,0.692892048032062,-0.65507225080867,-0.73490584317356,0.0267508609229733,-0.205417093670203,-0.80210715413537,-0.640290749005251,0.693212015192976,1.3259908261,-0.549573866752077,-1.23787805915783,-1.75394634192142,1.03782090132684,0.974129484831804,-0.747024447780025,-1.04569283127485,-1.49583228889457,-0.94260127139512,1.5739191600155,1.11432845826219,-0.820566296394613,0.149440737850253,-1.23775274556229,1.45374722962929,-1.6666127265546,0.252021248377255,1.86728838452942,-0.134641266661572
