"ClassName","Class","Parameter","ParameterLong","ParameterDescription","Phase","PhaseSpecific","StatCategory","Estimate","se","p"
"Moneyball",8,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Pass First",6,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",1.28213717460962,0.0618683962551545,2.12118888111856e-95
"Anywhere",7,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",1.6280145437654,0.0883460506086589,7.87606189917967e-76
"Defender",1,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Moneyball",8,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",-0.55946780153745,0.0247637567008942,5.17048678317151e-113
"Triple-Double",10,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Jumper",9,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",0.00827886723328537,0.04197685960384,0.843651820018229
"Big Jump",5,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",-0.409819292607061,0.044680779834853,4.63631211825709e-20
"Pass First",6,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Triple-Double",10,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",3.04105567737534,0.268224699706436,8.53420333809803e-30
"Center",4,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",-0.656260711451287,0.0558242837573384,6.59109817866478e-32
"Center",4,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Jumper",9,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Anywhere",7,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Double-Double",2,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Painter",3,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Big Jump",5,"AST","Assists","Assists per 36 minutes","Offense","Passing","Variances",0.331853958781879,0.0152738853561858,1.1429619452396e-104
"Double-Double",2,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",-0.0464029726288433,0.108344066563549,0.668438034168725
"Painter",3,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",-0.601491686583496,0.0311848944398614,6.78512046730373e-83
"Defender",1,"AST","Assists","Assists per 36 minutes","Offense","Passing","Means",-0.574144669495426,0.0393832238315542,3.85404752762005e-48
"Triple-Double",10,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Big Jump",5,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-0.816431857758892,0.0264445124838087,2.71914601604577e-209
"Defender",1,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Center",4,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-1.07816196327039,0.0366633070301383,4.45434024695007e-190
"Center",4,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Jumper",9,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Double-Double",2,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Pass First",6,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Moneyball",8,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",0.403339746225789,0.0445817617165079,1.46692306925766e-19
"Triple-Double",10,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-0.120766828515525,0.10040379355249,0.229049308307117
"Big Jump",5,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Double-Double",2,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-1.18700763842661,0.0415176066753126,8.82789893130433e-180
"Anywhere",7,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Jumper",9,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",0.392909036480342,0.0581837595343425,1.44920088993625e-11
"Pass First",6,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",1.09088957462644,0.046314241877965,1.14001794066735e-122
"Painter",3,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-1.08735881317295,0.0196437266280311,0
"Painter",3,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Anywhere",7,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",0.882721922170428,0.0706156254939281,7.42983472067764e-36
"Moneyball",8,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Defender",1,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-0.183391466638665,0.0575123021249999,0.00142897015612781
"Jumper",9,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",0.32070231741164,0.0435722659494553,1.83580414611564e-13
"Moneyball",8,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
