VariableLong,VariableShort,Description,Phase,Category
Height,PLAYER_HEIGHT_INCHES,"Height, in inches",-,Height
Effective FG,EFG,Effective field goal shooting,Offense,Efficiency
Catch Shoot FGPCT,CATCH_SHOOT_FG_PCT,Shooting percentage from catch and shoot attempts,Offense,Efficiency
Drive FGPCT,DRIVE_FG_PCT,Shooting percentage from drives,Offense,Efficiency
Elbow FGPCT,ELBOW_TOUCH_FG_PCT,Shooting percentage from touches at the elbow,Offense,Efficiency
Paint FGPCT,PAINT_TOUCH_FG_PCT,Shooting percentage from touches in the paint,Offense,Efficiency
FGPCT,PCT_FGM,Shooting percentage across the floor,Offense,Efficiency
Post FGPCT,POST_TOUCH_FG_PCT,Shooting percentage from the post,Offense,Efficiency
Pull Up FGPCT,PULL_UP_FG_PCT,Shooting percentage from pull up shots,Offense,Efficiency
Points per Touch,PTS_PER_TOUCH,Points scored per touch,Offense,Efficiency
Loose Ball Off,OFF_LOOSE_BALLS_RECOVERED,Loose balls recovered on offense per 36 minutes,Offense,Hustle
Speed Off,AVG_SPEED_OFF,Average speed on offense per game,Offense,Movement
Distance Off,DIST_MILES_OFF,Miles run while on offense per game,Offense,Movement
Drives,DRIVES,Drives to the basket per 36 minutes,Offense,Movement
Screen Assists,SCREEN_ASSISTS,Screens that lead to made FG by teammate per 36 minutes,Offense,Movement
Assists,AST,Assists per 36 minutes,Offense,Passing
Assists on 2s,PCT_AST_2PM,Percentage of assists earned from two point shots,Offense,Passing
Assists on 3s,PCT_AST_3PM,Percentage of assists earned from three point shots,Offense,Passing
Assists to FT,FT_AST,Free throws for team created by pass from player per 36 minutes,Offense,Passing
Passes Made,PASSES_MADE,Passes made per 36 minutes,Offense,Passing
Passes Received,PASSES_RECEIVED,Passes received from teammates per 36 minutes,Offense,Passing
Potential Assists,POTENTIAL_AST,Potential assists from passes per 36 minutes,Offense,Passing
Secondary Assists,SECONDARY_AST,Passes to teammate who earned an assist per 36 minutes,Offense,Passing
Average Seconds Per Touch,AVG_SEC_PER_TOUCH,Average seconds per touch,Offense,Possession
Elbow Touches,ELBOW_TOUCHES,Touches at the elbow per 36 minutes,Offense,Possession
Frontcourt Touches,FRONT_CT_TOUCHES,Touches in the frontcourt per 36 minutes,Offense,Possession
Pace,PACE,Possessions per 48 minutes,Offense,Possession
Post Touches,POST_TOUCHES,Touches at the post per 36 minutes,Offense,Possession
Time of Possession,TIME_OF_POSS_36,Time with possession per 36 minutes,Offense,Possession
Touches,TOUCHES,Total touches per 36 minutes,Offense,Possession
Turnovers,TOV,Turnovers per 36 minutes,Offense,Possession
Boxouts on Off,OFF_BOXOUTS,Box outs on offense per 36 minutes,Offense,Rebounding
Rebounds on Offense,OREB,Offensive rebounds per 36 minutes,Offense,Rebounding
